Key,File,Type,UsedInMainMenu,NoTranslate,English,Spanish,French,German,Italian,Japanese,Koreana,Polish,Brazilian,Russian,Turkish,Schinese,Tchinese,SpanishMexico

# Asylum Quest Class System - Localization
# Advanced class-based quest system for The Asylum
# Includes Asylum integration localization

quest_start_class_quests,,,,,"Asylum Quest Class System",,,,
quest_AsylumMech16_desc,,,,,"Gather vehicle wheels from the asylum's motor pool. Complete your mechanical toolbox.",,,,
quest_AsylumMech16_subtitle,,,,,"Asylum Toolbox 11/11",,,,
quest_AsylumMech17,,,,,"The Tinkerer 17/30",,,,
quest_AsylumMech17_desc,,,,,"Craft a generator bank in the asylum's workshop. Power the facility's systems.",,,,
quest_AsylumMech17_subtitle,,,,,"Asylum Engineering 1/6",,,,
quest_AsylumMech18,,,,,"The Tinkerer 18/30",,,,
quest_AsylumMech18_desc,,,,,"Gather car batteries from the asylum's vehicle bay. Store electrical energy for your projects.",,,,
quest_AsylumMech18_subtitle,,,,,"Asylum Engineering 2/6",,,,
quest_AsylumMech19,,,,,"The Tinkerer 19/30",,,,
quest_AsylumMech19_desc,,,,,"Collect small engines from the asylum's machinery. The heart of mechanical power.",,,,
quest_AsylumMech19_subtitle,,,,,"Asylum Engineering 3/6",,,,
quest_AsylumMech20,,,,,"The Tinkerer 20/30",,,,
quest_AsylumMech20_desc,,,,,"Craft minibike handlebars in the asylum's workshop. Begin building your first vehicle.",,,,
quest_AsylumMech20_subtitle,,,,,"Asylum Engineering 4/6",,,,
quest_AsylumMech21,,,,,"The Tinkerer 21/30",,,,
quest_AsylumMech21_desc,,,,,"Craft a minibike chassis in the asylum's workshop. The frame of freedom.",,,,
quest_AsylumMech21_subtitle,,,,,"Asylum Engineering 5/6",,,,
quest_AsylumMech22,,,,,"The Tinkerer 22/30",,,,
quest_AsylumMech22_desc,,,,,"Assemble a complete minibike. Escape the asylum's grounds on two wheels.",,,,
quest_AsylumMech22_subtitle,,,,,"Asylum Engineering 6/6",,,,
quest_AsylumMech23,,,,,"The Tinkerer 23/30",,,,
quest_AsylumMech23_desc,,,,,"Craft electric wire relays in the asylum's workshop. Connect the facility's power grid.",,,,
quest_AsylumMech23_subtitle,,,,,"Asylum Electrical 1/6",,,,
quest_AsylumMech24,,,,,"The Tinkerer 24/30",,,,
quest_AsylumMech24_desc,,,,,"Craft switches in the asylum's workshop. Control the flow of electricity.",,,,
quest_AsylumMech24_subtitle,,,,,"Asylum Electrical 2/6",,,,
quest_AsylumMech25,,,,,"The Tinkerer 25/30",,,,
quest_AsylumMech25_desc,,,,,"Craft a wire tool in the asylum's workshop. Connect and configure electrical systems.",,,,
quest_AsylumMech25_subtitle,,,,,"Asylum Electrical 3/6",,,,
quest_AsylumMech26,,,,,"The Tinkerer 26/30",,,,
quest_AsylumMech26_desc,,,,,"Craft electric fence posts in the asylum's workshop. Defend your territory with voltage.",,,,
quest_AsylumMech26_subtitle,,,,,"Asylum Electrical 4/6",,,,
quest_AsylumMech27,,,,,"The Tinkerer 27/30",,,,
quest_AsylumMech27_desc,,,,,"Craft dart traps in the asylum's workshop. Automated defense from the shadows.",,,,
quest_AsylumMech27_subtitle,,,,,"Asylum Electrical 5/6",,,,
quest_AsylumMech28,,,,,"The Tinkerer 28/30",,,,
quest_AsylumMech28_desc,,,,,"Craft a blade trap in the asylum's workshop. Lethal mechanical defense.",,,,
quest_AsylumMech28_subtitle,,,,,"Asylum Electrical 6/6",,,,
quest_AsylumMech29,,,,,"The Tinkerer 29/30",,,,
quest_AsylumMech29_desc,,,,,"Gather forged steel and chainsaw parts from the asylum's workshop. Prepare for legendary tools.",,,,
quest_AsylumMech29_subtitle,,,,,"Asylum Master Materials",,,,
quest_AsylumMech30,,,,,"The Tinkerer 30/30",,,,
quest_AsylumMech30_desc,,,,,"You have mastered the asylum's mechanical arts. Obtain the legendary SMALT tools - the pinnacle of repair and salvage engineering forged from the asylum's darkest experiments.",,,,
quest_AsylumMech30_subtitle,,,,,"Master Asylum Mechanic",,,,
quest_AsylumS,,,,,"The Enforcer",,,,
quest_AsylumS1,,,,,"The Enforcer 1/100",,,,
quest_AsylumS1_desc,,,,,"Eliminate 10 zombies wandering the asylum grounds. Begin your combat training.",,,,
quest_AsylumS1_subtitle,,,,,"Basic Combat Training 1/5",,,,
quest_AsylumS2,,,,,"The Enforcer 2/100",,,,
quest_AsylumS2_desc,,,,,"Eliminate 15 zombies. Each kill sharpens your skills.",,,,
quest_AsylumS2_subtitle,,,,,"Basic Combat Training 2/5",,,,
quest_AsylumS3,,,,,"The Enforcer 3/100",,,,
quest_AsylumS3_desc,,,,,"Hunt 20 zombies in the asylum's corridors. Your aim improves with practice.",,,,
quest_AsylumS3_subtitle,,,,,"Basic Combat Training 3/5",,,,
quest_AsylumS4,,,,,"The Enforcer 4/100",,,,
quest_AsylumS4_desc,,,,,"Eliminate 25 undead threats. The asylum's halls echo with your victories.",,,,
quest_AsylumS4_subtitle,,,,,"Basic Combat Training 4/5",,,,
quest_AsylumS5,,,,,"The Enforcer 5/100",,,,
quest_AsylumS5_desc,,,,,"Hunt 30 zombies in the asylum. Your basic training nears completion.",,,,
quest_AsylumS5_subtitle,,,,,"Basic Combat Training 5/5",,,,
quest_AsylumS6,,,,,"The Enforcer 6/100",,,,
quest_AsylumS6_desc,,,,,"Eliminate 35 zombies. The asylum's population thins with each kill.",,,,
quest_AsylumS6_subtitle,,,,,"Intermediate Combat 1/5",,,,
quest_AsylumS7,,,,,"The Enforcer 7/100",,,,
quest_AsylumS7_desc,,,,,"Hunt 40 zombies from the asylum grounds. Your combat prowess grows.",,,,
quest_AsylumS7_subtitle,,,,,"Intermediate Combat 2/5",,,,
quest_AsylumS8,,,,,"The Enforcer 8/100",,,,
quest_AsylumS8_desc,,,,,"Eliminate 45 undead in the asylum's ruins. Each battle teaches valuable lessons.",,,,
quest_AsylumS8_subtitle,,,,,"Intermediate Combat 3/5",,,,
quest_AsylumS9,,,,,"The Enforcer 9/100",,,,
quest_AsylumS9_desc,,,,,"Hunt 50 zombies. You're becoming a seasoned fighter.",,,,
quest_AsylumS9_subtitle,,,,,"Intermediate Combat 4/5",,,,
quest_AsylumS10,,,,,"The Enforcer 10/100",,,,
quest_AsylumS10_desc,,,,,"Eliminate 60 zombies. Complete your intermediate training.",,,,
quest_AsylumS10_subtitle,,,,,"Intermediate Combat 5/5",,,,
quest_AsylumS11,,,,,"The Enforcer 11/100",,,,
quest_AsylumS11_desc,,,,,"Hunt 70 zombies from the asylum. Advanced combat training begins.",,,,
quest_AsylumS11_subtitle,,,,,"Advanced Combat 1/5",,,,
quest_AsylumS12,,,,,"The Enforcer 12/100",,,,
quest_AsylumS12_desc,,,,,"Eliminate 80 zombies in the asylum's territory. Your kill count rises.",,,,
quest_AsylumS12_subtitle,,,,,"Advanced Combat 2/5",,,,
quest_AsylumS13,,,,,"The Enforcer 13/100",,,,
quest_AsylumS13_desc,,,,,"Hunt 90 undead threats. The asylum's curse spreads through the infected.",,,,
quest_AsylumS13_subtitle,,,,,"Advanced Combat 3/5",,,,
quest_AsylumS14,,,,,"The Enforcer 14/100",,,,
quest_AsylumS14_desc,,,,,"Eliminate 100 zombies from the asylum grounds. Your reputation as a hunter grows.",,,,
quest_AsylumS14_subtitle,,,,,"Advanced Combat 4/5",,,,
quest_AsylumS15,,,,,"The Enforcer 15/100",,,,
quest_AsylumS15_desc,,,,,"Hunt 120 zombies in the asylum. Advanced training nears completion.",,,,
quest_AsylumS15_subtitle,,,,,"Advanced Combat 5/5",,,,
quest_AsylumS16,,,,,"The Enforcer 16/100",,,,
quest_AsylumS16_desc,,,,,"Eliminate 140 zombies. Elite combat training begins.",,,,
quest_AsylumS16_subtitle,,,,,"Elite Combat 1/5",,,,
quest_AsylumS17,,,,,"The Enforcer 17/100",,,,
quest_AsylumS17_desc,,,,,"Hunt 160 zombies in the asylum's ruins. Each kill brings you closer to mastery.",,,,
quest_AsylumS17_subtitle,,,,,"Elite Combat 2/5",,,,
quest_AsylumS18,,,,,"The Enforcer 18/100",,,,
quest_AsylumS18_desc,,,,,"Eliminate 180 undead threats. The asylum's curse must be purged.",,,,
quest_AsylumS18_subtitle,,,,,"Elite Combat 3/5",,,,
quest_AsylumS19,,,,,"The Enforcer 19/100",,,,
quest_AsylumS19_desc,,,,,"Hunt 200 zombies. The asylum's halls grow quieter with each victory.",,,,
quest_AsylumS19_subtitle,,,,,"Elite Combat 4/5",,,,
quest_AsylumS20,,,,,"The Enforcer 20/100",,,,
quest_AsylumS20_desc,,,,,"Eliminate 250 zombies. Complete your elite training and prepare for specialized hunts.",,,,
quest_AsylumS20_subtitle,,,,,"Elite Combat 5/5",,,,
quest_AsylumS21,,,,,"The Enforcer 21/100",,,,
quest_AsylumS21_desc,,,,,"Eliminate more zombies. The asylum's undead horde seems endless.",,,,
quest_AsylumS21_subtitle,,,,,"Asylum Patient Elimination 12/30",,,,
quest_AsylumS22,,,,,"The Enforcer 22/100",,,,
quest_AsylumS22_desc,,,,,"Continue hunting zombies in the asylum. Your combat skills sharpen with each encounter.",,,,
quest_AsylumS22_subtitle,,,,,"Asylum Patient Elimination 13/30",,,,
quest_AsylumS23,,,,,"The Enforcer 23/100",,,,
quest_AsylumS23_desc,,,,,"Hunt more undead threats. The asylum's curse spreads through every victim.",,,,
quest_AsylumS23_subtitle,,,,,"Asylum Patient Elimination 14/30",,,,
quest_AsylumS24,,,,,"The Enforcer 24/100",,,,
quest_AsylumS24_desc,,,,,"Eliminate more zombies from the asylum grounds. Your kill count climbs higher.",,,,
quest_AsylumS24_subtitle,,,,,"Asylum Patient Elimination 15/30",,,,
quest_AsylumS25,,,,,"The Enforcer 25/100",,,,
quest_AsylumS25_desc,,,,,"Hunt Yo and Steve zombies in the asylum's common areas. Former visitors now trapped forever.",,,,
quest_AsylumS25_subtitle,,,,,"Asylum Patient Elimination 16/30",,,,
quest_AsylumS26,,,,,"The Enforcer 26/100",,,,
quest_AsylumS26_desc,,,,,"Continue eliminating zombies. The asylum's halls grow darker with each passing day.",,,,
quest_AsylumS26_subtitle,,,,,"Asylum Patient Elimination 17/30",,,,
quest_AsylumS27,,,,,"The Enforcer 27/100",,,,
quest_AsylumS27_desc,,,,,"Hunt more zombies in the asylum's territory. Your reputation as a soldier grows.",,,,
quest_AsylumS27_subtitle,,,,,"Asylum Patient Elimination 18/30",,,,
quest_AsylumS28,,,,,"The Enforcer 28/100",,,,
quest_AsylumS28_desc,,,,,"Eliminate more undead threats. The asylum's curse must be contained.",,,,
quest_AsylumS28_subtitle,,,,,"Asylum Patient Elimination 19/30",,,,
quest_AsylumS29,,,,,"The Enforcer 29/100",,,,
quest_AsylumS29_desc,,,,,"Continue your zombie hunt. Each kill brings temporary peace to the asylum.",,,,
quest_AsylumS29_subtitle,,,,,"Asylum Patient Elimination 20/30",,,,
quest_AsylumS30,,,,,"The Enforcer 30/100",,,,
quest_AsylumS30_desc,,,,,"Hunt Biker and Fat Hawaiian zombies in the asylum's parking areas. Visitors who never left.",,,,
quest_AsylumS30_subtitle,,,,,"Asylum Patient Elimination 21/30",,,,
quest_AsylumS31,,,,,"The Enforcer 31/100",,,,
quest_AsylumS31_desc,,,,,"Eliminate more zombies from the asylum. The undead population never seems to diminish.",,,,
quest_AsylumS31_subtitle,,,,,"Asylum Patient Elimination 22/30",,,,
quest_AsylumS32,,,,,"The Enforcer 32/100",,,,
quest_AsylumS32_desc,,,,,"Hunt more undead in the asylum's ruins. Your combat prowess is undeniable.",,,,
quest_AsylumS32_subtitle,,,,,"Asylum Patient Elimination 23/30",,,,
quest_AsylumS33,,,,,"The Enforcer 33/100",,,,
quest_AsylumS33_desc,,,,,"Continue eliminating zombies. The asylum's curse shows no signs of weakening.",,,,
quest_AsylumS33_subtitle,,,,,"Asylum Patient Elimination 24/30",,,,
quest_AsylumS34,,,,,"The Enforcer 34/100",,,,
quest_AsylumS34_desc,,,,,"Hunt more zombies in the asylum grounds. Your skills are becoming legendary.",,,,
quest_AsylumS34_subtitle,,,,,"Asylum Patient Elimination 25/30",,,,
quest_AsylumS35,,,,,"The Enforcer 35/100",,,,
quest_AsylumS35_desc,,,,,"Hunt Steve Crawler zombies in the asylum's ventilation system. They lurk in the shadows.",,,,
quest_AsylumS35_subtitle,,,,,"Asylum Patient Elimination 26/30",,,,
quest_AsylumS36,,,,,"The Enforcer 36/100",,,,
quest_AsylumS36_desc,,,,,"Eliminate more zombies. The asylum's undead never stop coming.",,,,
quest_AsylumS36_subtitle,,,,,"Asylum Patient Elimination 27/30",,,,
quest_AsylumS37,,,,,"The Enforcer 37/100",,,,
quest_AsylumS37_desc,,,,,"Continue hunting zombies in the asylum. Your combat training is nearly complete.",,,,
quest_AsylumS37_subtitle,,,,,"Asylum Patient Elimination 28/30",,,,
quest_AsylumS38,,,,,"The Enforcer 38/100",,,,
quest_AsylumS38_desc,,,,,"Hunt more undead threats. The asylum's curse flows through their veins.",,,,
quest_AsylumS38_subtitle,,,,,"Asylum Patient Elimination 29/30",,,,
quest_AsylumS39,,,,,"The Enforcer 39/100",,,,
quest_AsylumS39_desc,,,,,"Complete your patient elimination training. Tougher challenges await.",,,,
quest_AsylumS39_subtitle,,,,,"Asylum Patient Elimination 30/30",,,,
quest_AsylumS40,,,,,"The Enforcer 40/100",,,,
quest_AsylumS40_desc,,,,,"Hunt Spider zombies in the asylum's basement. These crawlers move with unnatural speed.",,,,
quest_AsylumS40_subtitle,,,,,"Asylum Advanced Combat 1/20",,,,
quest_AsylumS41,,,,,"The Enforcer 41/100",,,,
quest_AsylumS41_desc,,,,,"Eliminate more zombies from the asylum. The undead grow more dangerous.",,,,
quest_AsylumS41_subtitle,,,,,"Asylum Advanced Combat 2/20",,,,
quest_AsylumS42,,,,,"The Enforcer 42/100",,,,
quest_AsylumS42_desc,,,,,"Continue hunting zombies. Your combat experience deepens.",,,,
quest_AsylumS42_subtitle,,,,,"Asylum Advanced Combat 3/20",,,,
quest_AsylumS43,,,,,"The Enforcer 43/100",,,,
quest_AsylumS43_desc,,,,,"Hunt more undead threats in the asylum. Each battle tests your limits.",,,,
quest_AsylumS43_subtitle,,,,,"Asylum Advanced Combat 4/20",,,,
quest_AsylumS44,,,,,"The Enforcer 44/100",,,,
quest_AsylumS44_desc,,,,,"Eliminate more zombies. The asylum's curse grows stronger.",,,,
quest_AsylumS44_subtitle,,,,,"Asylum Advanced Combat 5/20",,,,
quest_AsylumS45,,,,,"The Enforcer 45/100",,,,
quest_AsylumS45_desc,,,,,"Hunt Party Girl zombies in the asylum's recreation halls. They still dance in death.",,,,
quest_AsylumS45_subtitle,,,,,"Asylum Advanced Combat 6/20",,,,
quest_AsylumS46,,,,,"The Enforcer 46/100",,,,
quest_AsylumS46_desc,,,,,"Continue eliminating zombies. The asylum's undead population is relentless.",,,,
quest_AsylumS46_subtitle,,,,,"Asylum Advanced Combat 7/20",,,,
quest_AsylumS47,,,,,"The Enforcer 47/100",,,,
quest_AsylumS47_desc,,,,,"Hunt more zombies in the asylum grounds. Your skills are formidable.",,,,
quest_AsylumS47_subtitle,,,,,"Asylum Advanced Combat 8/20",,,,
quest_AsylumS48,,,,,"The Enforcer 48/100",,,,
quest_AsylumS48_desc,,,,,"Eliminate more undead threats. The asylum's curse spreads endlessly.",,,,
quest_AsylumS48_subtitle,,,,,"Asylum Advanced Combat 9/20",,,,
quest_AsylumS49,,,,,"The Enforcer 49/100",,,,
quest_AsylumS49_desc,,,,,"Continue your zombie hunt. The asylum's halls echo with combat.",,,,
quest_AsylumS49_subtitle,,,,,"Asylum Advanced Combat 10/20",,,,
quest_AsylumS50,,,,,"The Enforcer 50/100",,,,
quest_AsylumS50_desc,,,,,"Hunt Skater zombies in the asylum's recreation areas. They still glide through death.",,,,
quest_AsylumS50_subtitle,,,,,"Asylum Advanced Combat 11/20",,,,
quest_AsylumS51,,,,,"The Enforcer 51/100",,,,
quest_AsylumS51_desc,,,,,"Eliminate more zombies. The asylum's undead grow more aggressive.",,,,
quest_AsylumS51_subtitle,,,,,"Asylum Advanced Combat 12/20",,,,
quest_AsylumS52,,,,,"The Enforcer 52/100",,,,
quest_AsylumS52_desc,,,,,"Continue hunting zombies in the asylum. Your combat mastery deepens.",,,,
quest_AsylumS52_subtitle,,,,,"Asylum Advanced Combat 13/20",,,,
quest_AsylumS53,,,,,"The Enforcer 53/100",,,,
quest_AsylumS53_desc,,,,,"Hunt more undead threats. The asylum's curse intensifies.",,,,
quest_AsylumS53_subtitle,,,,,"Asylum Advanced Combat 14/20",,,,
quest_AsylumS54,,,,,"The Enforcer 54/100",,,,
quest_AsylumS54_desc,,,,,"Eliminate more zombies from the asylum grounds. Your reputation spreads.",,,,
quest_AsylumS54_subtitle,,,,,"Asylum Advanced Combat 15/20",,,,
quest_AsylumS55,,,,,"The Enforcer 55/100",,,,
quest_AsylumS55_desc,,,,,"Hunt Female Fat zombies in the asylum's cafeteria. Former staff trapped in undeath.",,,,
quest_AsylumS55_subtitle,,,,,"Asylum Advanced Combat 16/20",,,,
quest_AsylumS56,,,,,"The Enforcer 56/100",,,,
quest_AsylumS56_desc,,,,,"Continue eliminating zombies. The asylum's halls run red.",,,,
quest_AsylumS56_subtitle,,,,,"Asylum Advanced Combat 17/20",,,,
quest_AsylumS57,,,,,"The Enforcer 57/100",,,,
quest_AsylumS57_desc,,,,,"Hunt more zombies in the asylum's territory. Your skills are legendary.",,,,
quest_AsylumS57_subtitle,,,,,"Asylum Advanced Combat 18/20",,,,
quest_AsylumS58,,,,,"The Enforcer 58/100",,,,
quest_AsylumS58_desc,,,,,"Eliminate more undead threats. The asylum's curse never rests.",,,,
quest_AsylumS58_subtitle,,,,,"Asylum Advanced Combat 19/20",,,,
quest_AsylumS59,,,,,"The Enforcer 59/100",,,,
quest_AsylumS59_desc,,,,,"Complete your advanced combat training. Elite challenges await.",,,,
quest_AsylumS59_subtitle,,,,,"Asylum Advanced Combat 20/20",,,,
quest_AsylumS60,,,,,"The Enforcer 60/100",,,,
quest_AsylumS60_desc,,,,,"Hunt Soldier zombies in the asylum's security wing. Former guards now hunt the living.",,,,
quest_AsylumS60_subtitle,,,,,"Asylum Elite Combat 1/20",,,,
quest_AsylumS61,,,,,"The Enforcer 61/100",,,,
quest_AsylumS61_desc,,,,,"Eliminate more zombies. The asylum's elite undead are formidable.",,,,
quest_AsylumS61_subtitle,,,,,"Asylum Elite Combat 2/20",,,,
quest_AsylumS62,,,,,"The Enforcer 62/100",,,,
quest_AsylumS62_desc,,,,,"Continue hunting zombies in the asylum. Each battle is a test of will.",,,,
quest_AsylumS62_subtitle,,,,,"Asylum Elite Combat 3/20",,,,
quest_AsylumS63,,,,,"The Enforcer 63/100",,,,
quest_AsylumS63_desc,,,,,"Hunt more undead threats. The asylum's curse reaches its peak.",,,,
quest_AsylumS63_subtitle,,,,,"Asylum Elite Combat 4/20",,,,
quest_AsylumS64,,,,,"The Enforcer 64/100",,,,
quest_AsylumS64_desc,,,,,"Eliminate more zombies from the asylum. Your combat prowess is unmatched.",,,,
quest_AsylumS64_subtitle,,,,,"Asylum Elite Combat 5/20",,,,
quest_AsylumS65,,,,,"The Enforcer 65/100",,,,
quest_AsylumS65_desc,,,,,"Hunt Utility Worker zombies in the asylum's maintenance tunnels. They still carry their tools.",,,,
quest_AsylumS65_subtitle,,,,,"Asylum Elite Combat 6/20",,,,
quest_AsylumS66,,,,,"The Enforcer 66/100",,,,
quest_AsylumS66_desc,,,,,"Continue eliminating zombies. The asylum's undead elite fall before you.",,,,
quest_AsylumS66_subtitle,,,,,"Asylum Elite Combat 7/20",,,,
quest_AsylumS67,,,,,"The Enforcer 67/100",,,,
quest_AsylumS67_desc,,,,,"Hunt more zombies in the asylum's ruins. Your legend grows.",,,,
quest_AsylumS67_subtitle,,,,,"Asylum Elite Combat 8/20",,,,
quest_AsylumS68,,,,,"The Enforcer 68/100",,,,
quest_AsylumS68_desc,,,,,"Eliminate more undead threats. The asylum's curse weakens before your might.",,,,
quest_AsylumS68_subtitle,,,,,"Asylum Elite Combat 9/20",,,,
quest_AsylumS69,,,,,"The Enforcer 69/100",,,,
quest_AsylumS69_desc,,,,,"Continue your zombie hunt. The asylum's halls tremble at your approach.",,,,
quest_AsylumS69_subtitle,,,,,"Asylum Elite Combat 10/20",,,,
quest_AsylumS70,,,,,"The Enforcer 70/100",,,,
quest_AsylumS70_desc,,,,,"Hunt Male Hazmat zombies in the asylum's contaminated zones. They still wear protective gear.",,,,
quest_AsylumS70_subtitle,,,,,"Asylum Elite Combat 11/20",,,,
quest_AsylumS71,,,,,"The Enforcer 71/100",,,,
quest_AsylumS71_desc,,,,,"Eliminate more zombies. The asylum's elite undead are relentless.",,,,
quest_AsylumS71_subtitle,,,,,"Asylum Elite Combat 12/20",,,,
quest_AsylumS72,,,,,"The Enforcer 72/100",,,,
quest_AsylumS72_desc,,,,,"Continue hunting zombies in the asylum. Your combat mastery is absolute.",,,,
quest_AsylumS72_subtitle,,,,,"Asylum Elite Combat 13/20",,,,
quest_AsylumS73,,,,,"The Enforcer 73/100",,,,
quest_AsylumS73_desc,,,,,"Hunt more undead threats. The asylum's curse bends before your will.",,,,
quest_AsylumS73_subtitle,,,,,"Asylum Elite Combat 14/20",,,,
quest_AsylumS74,,,,,"The Enforcer 74/100",,,,
quest_AsylumS74_desc,,,,,"Eliminate more zombies from the asylum. Your legend is complete.",,,,
quest_AsylumS74_subtitle,,,,,"Asylum Elite Combat 15/20",,,,
quest_AsylumS75,,,,,"The Enforcer 75/100",,,,
quest_AsylumS75_desc,,,,,"Hunt Nurse zombies in the asylum's medical wing. They still tend to the dead.",,,,
quest_AsylumS75_subtitle,,,,,"Asylum Elite Combat 16/20",,,,
quest_AsylumS76,,,,,"The Enforcer 76/100",,,,
quest_AsylumS76_desc,,,,,"Continue eliminating zombies. The asylum's undead elite cannot stop you.",,,,
quest_AsylumS76_subtitle,,,,,"Asylum Elite Combat 17/20",,,,
quest_AsylumS77,,,,,"The Enforcer 77/100",,,,
quest_AsylumS77_desc,,,,,"Hunt more zombies in the asylum's ruins. You are death incarnate.",,,,
quest_AsylumS77_subtitle,,,,,"Asylum Elite Combat 18/20",,,,
quest_AsylumS78,,,,,"The Enforcer 78/100",,,,
quest_AsylumS78_desc,,,,,"Eliminate more undead threats. The asylum's curse crumbles.",,,,
quest_AsylumS78_subtitle,,,,,"Asylum Elite Combat 19/20",,,,
quest_AsylumS79,,,,,"The Enforcer 79/100",,,,
quest_AsylumS79_desc,,,,,"Complete your elite combat training. The final trials await.",,,,
quest_AsylumS79_subtitle,,,,,"Asylum Elite Combat 20/20",,,,
quest_AsylumS80,,,,,"The Enforcer 80/100",,,,
quest_AsylumS80_desc,,,,,"Hunt Biker and Party Girl zombies. The asylum's most dangerous undead.",,,,
quest_AsylumS80_subtitle,,,,,"Asylum Apex Elimination 1/20",,,,
quest_AsylumS81,,,,,"The Enforcer 81/100",,,,
quest_AsylumS81_desc,,,,,"Hunt Cursed Patients in the asylum's deepest wards. The curse manifests in its purest form.",,,,
quest_AsylumS81_subtitle,,,,,"Cursed Asylum Elimination 1/20",,,,
quest_AsylumS82,,,,,"The Enforcer 82/100",,,,
quest_AsylumS82_desc,,,,,"Eliminate Cursed Thugs prowling the asylum. Violent spirits bound by dark magic.",,,,
quest_AsylumS82_subtitle,,,,,"Cursed Asylum Elimination 2/20",,,,
quest_AsylumS83,,,,,"The Enforcer 83/100",,,,
quest_AsylumS83_desc,,,,,"Hunt Cursed Cops in the asylum's security wing. Law and order corrupted by the curse.",,,,
quest_AsylumS83_subtitle,,,,,"Cursed Asylum Elimination 3/20",,,,
quest_AsylumS84,,,,,"The Enforcer 84/100",,,,
quest_AsylumS84_desc,,,,,"Eliminate Cursed Psychos in the asylum's isolation cells. Madness given unholy power.",,,,
quest_AsylumS84_subtitle,,,,,"Cursed Asylum Elimination 4/20",,,,
quest_AsylumS85,,,,,"The Enforcer 85/100",,,,
quest_AsylumS85_desc,,,,,"Face Jason Voorhees in the asylum's killing grounds. The legendary slayer walks among the cursed.",,,,
quest_AsylumS85_subtitle,,,,,"Horror Icon Confrontation",,,,
quest_AsylumS86,,,,,"The Enforcer 86/100",,,,
quest_AsylumS86_desc,,,,,"Hunt Cursed Monsters in the asylum's experimental wing. Abominations of dark science.",,,,
quest_AsylumS86_subtitle,,,,,"Cursed Asylum Elimination 5/20",,,,
quest_AsylumS87,,,,,"The Enforcer 87/100",,,,
quest_AsylumS87_desc,,,,,"Eliminate more Cursed Monsters. The asylum's darkest creations must fall.",,,,
quest_AsylumS87_subtitle,,,,,"Cursed Asylum Elimination 6/20",,,,
quest_AsylumS88,,,,,"The Enforcer 88/100",,,,
quest_AsylumS88_desc,,,,,"Hunt Cursed Horrors in the asylum's nightmare realm. Terror made flesh.",,,,
quest_AsylumS88_subtitle,,,,,"Cursed Asylum Elimination 7/20",,,,
quest_AsylumS89,,,,,"The Enforcer 89/100",,,,
quest_AsylumS89_desc,,,,,"Eliminate more Cursed Horrors. The asylum's worst nightmares await.",,,,
quest_AsylumS89_subtitle,,,,,"Cursed Asylum Elimination 8/20",,,,
quest_AsylumS90,,,,,"The Enforcer 90/100",,,,
quest_AsylumS90_desc,,,,,"Face the Kingspawn in the asylum's throne room. Ancient evil given form.",,,,
quest_AsylumS90_subtitle,,,,,"Ancient Evil Confrontation",,,,
quest_AsylumS91,,,,,"The Enforcer 91/100",,,,
quest_AsylumS91_desc,,,,,"Hunt Alpha Patients in massive numbers. The asylum's most powerful undead swarm.",,,,
quest_AsylumS91_subtitle,,,,,"Alpha Asylum Elimination 1/10",,,,
quest_AsylumS92,,,,,"The Enforcer 92/100",,,,
quest_AsylumS92_desc,,,,,"Eliminate Alpha Thugs. The asylum's elite enforcers must be destroyed.",,,,
quest_AsylumS92_subtitle,,,,,"Alpha Asylum Elimination 2/10",,,,
quest_AsylumS93,,,,,"The Enforcer 93/100",,,,
quest_AsylumS93_desc,,,,,"Hunt Alpha Cops in the asylum's command center. Ultimate authority corrupted.",,,,
quest_AsylumS93_subtitle,,,,,"Alpha Asylum Elimination 3/10",,,,
quest_AsylumS94,,,,,"The Enforcer 94/100",,,,
quest_AsylumS94_desc,,,,,"Eliminate Alpha Psychos in massive hordes. Insanity at its apex.",,,,
quest_AsylumS94_subtitle,,,,,"Alpha Asylum Elimination 4/10",,,,
quest_AsylumS95,,,,,"The Enforcer 95/100",,,,
quest_AsylumS95_desc,,,,,"Face Onyx in the asylum's obsidian chamber. Darkness incarnate awaits.",,,,
quest_AsylumS95_subtitle,,,,,"Darkness Incarnate",,,,
quest_AsylumS96,,,,,"The Enforcer 96/100",,,,
quest_AsylumS96_desc,,,,,"Hunt Alpha Monsters in massive numbers. The asylum's ultimate abominations.",,,,
quest_AsylumS96_subtitle,,,,,"Alpha Asylum Elimination 5/10",,,,
quest_AsylumS97,,,,,"The Enforcer 97/100",,,,
quest_AsylumS97_desc,,,,,"Eliminate Alpha Horrors. The asylum's most terrifying entities.",,,,
quest_AsylumS97_subtitle,,,,,"Alpha Asylum Elimination 6/10",,,,
quest_AsylumS98,,,,,"The Enforcer 98/100",,,,
quest_AsylumS98_desc,,,,,"Face the Titan in the asylum's colosseum. A god of destruction walks the earth.",,,,
quest_AsylumS98_subtitle,,,,,"Titan Confrontation",,,,
quest_AsylumS99,,,,,"The Enforcer 99/100",,,,
quest_AsylumS99_desc,,,,,"Hunt the final Alpha Monster horde. The asylum's curse reaches its zenith.",,,,
quest_AsylumS99_subtitle,,,,,"Alpha Asylum Elimination 7/10",,,,
quest_AsylumS100,,,,,"The Enforcer 100/100",,,,
